client;itemsBought;totalSpent;paymentMethod;adress;vatNumber;date
client 1;Item 1 item2;659;payment method 1;adress 1;vatNumber 1;date 1
client 2;Item 1 item3;660;payment method 2;adress 2;vatNumber 2;date 2
client 3;Item 1 item4;661;payment method 3;adress 3;vatNumber 3;date 3
client 4;Item 1 item5;662;payment method 4;adress 4;vatNumber 4;date 4
client 5;Item 1 item6;663;payment method 5;adress 5;vatNumber 5;date 5
client 6;Item 1 item7;664;payment method 6;adress 6;vatNumber 6;date 6
client 7;Item 1 item8;665;payment method 7;adress 7;vatNumber 7;date 7
client 8;Item 1 item9;666;payment method 8;adress 8;vatNumber 8;date 8
client 9;Item 1 item10;667;payment method 9;adress 9;vatNumber 9;date 9
client 10;Item 1 item11;668;payment method 10;adress 10;vatNumber 10;date 10
client 11;Item 1 item12;669;payment method 11;adress 11;vatNumber 11;date 11
client 12;Item 1 item13;670;payment method 12;adress 12;vatNumber 12;date 12
client 13;Item 1 item14;671;payment method 13;adress 13;vatNumber 13;date 13
client 14;Item 1 item15;672;payment method 14;adress 14;vatNumber 14;date 14
client 15;Item 1 item16;673;payment method 15;adress 15;vatNumber 15;date 15
client 16;Item 1 item17;674;payment method 16;adress 16;vatNumber 16;date 16
client 17;Item 1 item18;675;payment method 17;adress 17;vatNumber 17;date 17
client 18;Item 1 item19;676;payment method 18;adress 18;vatNumber 18;date 18
client 19;Item 1 item20;677;payment method 19;adress 19;vatNumber 19;date 19
client 20;Item 1 item21;678;payment method 20;adress 20;vatNumber 20;date 20
client 21;Item 1 item22;679;payment method 21;adress 21;vatNumber 21;date 21
client 22;Item 1 item23;680;payment method 22;adress 22;vatNumber 22;date 22
client 23;Item 1 item24;681;payment method 23;adress 23;vatNumber 23;date 23
client 24;Item 1 item25;682;payment method 24;adress 24;vatNumber 24;date 24
