idNumber;personName;username;email;password;purchases;paymentMethods;adresses;vatNumber;role;lastConnection;scoresGiven
U0001;"""Liam Smith"",";"""SkyWalker123"",";"""john.doe@example.com"",";passwordTest123!@;4000 4065;;"{""address"": ""123 Main St, Jerez de la Frontera, Andalucía, España""},";4089304;;;1043
U0002;"""Olivia Johnson"",";"""OceanBreeze45"",";"""jane.smith@example.com"",";passwordTest123!@;4026;;"  {""address"": ""456 Elm St, Madrid, Comunidad de Madrid, España""},";4779000;;;1026
U0003;"""Noah Williams"",";"""MysticMoon88"",";"""michael.brown@example.com"",";passwordTest123!@;4013;;"  {""address"": ""789 Oak St, Barcelona, Cataluña, España""},";4216375;;;1049
U0004;"""Emma Brown"",";"""StarGazer77"",";"""emily.jones@example.com"",";passwordTest123!@;4017;;"  {""address"": ""101 Pine St, Valencia, Comunidad Valenciana, España""},";4524552;;;1045
U0005;"""Oliver Jones"",";"""DreamCatcher22"",";"""david.wilson@example.com"",";passwordTest123!@;4083;;"  {""address"": ""202 Maple St, Sevilla, Andalucía, España""},";4053375;;;1041
U0006;"""Ava Garcia"",";"""ThunderBolt99"",";"""sarah.davis@example.com"",";passwordTest123!@;4035;;"  {""address"": ""303 Cedar St, Zaragoza, Aragón, España""},";4135184;;;1092
U0007;"""Elijah Miller"",";"""CosmicVoyager"",";"""chris.martin@example.com"",";passwordTest123!@;4021;;"  {""address"": ""404 Birch St, Málaga, Andalucía, España""},";4050064;;;1024
U0008;"""Sophia Davis"",";"""LunarEclipse"",";"""laura.moore@example.com"",";passwordTest123!@;4026;;"  {""address"": ""505 Walnut St, Murcia, Región de Murcia, España""},";4050216;;;1087
U0009;"""James Martinez"",";"""SolarFlare"",";"""daniel.taylor@example.com"",";passwordTest123!@;4001;;"  {""address"": ""606 Chestnut St, Palma, Islas Baleares, España""},";4708503;;;1081
U0010;"""Isabella Rodriguez"",";"""GalacticTraveler"",";"""emma.anderson@example.com"",";passwordTest123!@;4033;;"  {""address"": ""707 Ash St, Las Palmas, Canarias, España""},";4312144;;;1018
U0011;"""William Hernandez"",";"""NebulaHunter"",";"""james.thomas@example.com"",";passwordTest123!@;4000;;"  {""address"": ""808 Willow St, Bilbao, País Vasco, España""},";4393000;;;1063
U0012;"""Mia Lopez"",";"""AstroNomad"",";"""olivia.jackson@example.com"",";passwordTest123!@;4093;;"  {""address"": ""909 Poplar St, Alicante, Comunidad Valenciana, España""},";4225616;;;1057
U0013;"""Benjamin Gonzalez"",";"""QuantumLeap"",";"""robert.white@example.com"",";passwordTest123!@;4032;;"  {""address"": ""1010 Cypress St, Córdoba, Andalucía, España""},";4235193;;;1011
U0014;"""Charlotte Wilson"",";"""PhotonBlaze"",";"""sophia.harris@example.com"",";passwordTest123!@;4082;;"  {""address"": ""1111 Redwood St, Valladolid, Castilla y León, España""},";4135184;;;1043
U0015;"""Lucas Anderson"",";"""CelestialWanderer"",";"""william.martinez@example.com"",";passwordTest123!@;4004;;"  {""address"": ""1212 Spruce St, Vigo, Galicia, España""},";4488976;;;1006
U0016;"""Amelia Thomas"",";"""StellarNavigator"",";"""isabella.thompson@example.com"",";passwordTest123!@;4082;;"  {""address"": ""1313 Fir St, Gijón, Asturias, España""},";4182651;;;1007
U0017;"""Henry Taylor"",";"""MeteorShower"",";"""charles.garcia@example.com"",";passwordTest123!@;4004;;"  {""address"": ""1414 Pine St, Hospitalet de Llobregat, Cataluña, España""},";4854357;;;1031
U0018;"""Harper Moore"",";"""CometChaser"",";"""mia.rodriguez@example.com"",";passwordTest123!@;4060;;"  {""address"": ""1515 Maple St, Vitoria-Gasteiz, País Vasco, España""},";4828688;;;1011
U0019;"""Alexander Jackson"",";"""PlanetExplorer"",";"""joseph.lee@example.com"",";passwordTest123!@;4001;;"  {""address"": ""1616 Cedar St, A Coruña, Galicia, España""},";4455224;;;1072
U0020;"""Evelyn Martin"",";"""GalaxyRider"",";"""amelia.walker@example.com"",";passwordTest123!@;4099;;"  {""address"": ""1717 Birch St, Granada, Andalucía, España""},";4562000;;;1083
U0021;"""Sebastian Lee"",";"""SpaceOdyssey"",";"""thomas.hall@example.com"",";passwordTest123!@;4047;;"  {""address"": ""1818 Walnut St, Elche, Comunidad Valenciana, España""},";4092875;;;1044
U0022;"""Abigail Perez"",";"""OrbitJumper"",";"""ava.young@example.com"",";passwordTest123!@;4080;;"  {""address"": ""1919 Chestnut St, Oviedo, Asturias, España""},";4062167;;;1068
U0023;"""Jack Thompson"",";"""RocketPilot"",";"""mark.king@example.com"",";passwordTest123!@;4011;;"  {""address"": ""2020 Ash St, Badalona, Cataluña, España""},";4062167;;;1012
U0024;"""Emily White"",";"""AlienSeeker"",";"""charlotte.wright@example.com"",";passwordTest123!@;4049;;"  {""address"": ""2121 Willow St, Cartagena, Región de Murcia, España""},";4423248;;;1036
U0025;"""Daniel Harris"",";"""AstroPilot"",";"""paul.scott@example.com"",";passwordTest123!@;4069;;"  {""address"": ""2222 Poplar St, Terrassa, Cataluña, España""},";4423248;;;1061
U0026;"""Scarlett Clark"",";"""StarshipCaptain"",";"""grace.green@example.com"",";passwordTest123!@;4021;;"  {""address"": ""2323 Cypress St, Jerez de la Frontera, Andalucía, España""},";4092875;;;1072
U0027;"""Matthew Lewis"",";"""Interstellar"",";"""steven.adams@example.com"",";passwordTest123!@;4088;;"  {""address"": ""2424 Redwood St, Sabadell, Cataluña, España""},";4050125;;;1020
U0028;"""Victoria Robinson"",";"""CosmicRanger"",";"""chloe.baker@example.com"",";passwordTest123!@;4036;;"  {""address"": ""2525 Spruce St, Móstoles, Comunidad de Madrid, España""},";4071952;;;1098
U0029;"""Joseph Walker"",";"""LunarLander"",";"""andrew.gonzalez@example.com"",";passwordTest123!@;4007;;"  {""address"": ""2626 Fir St, Santa Cruz de Tenerife, Canarias, España""},";4991192;;;1085
U0030;"""Grace Young"",";"""SolarSailor"",";"""zoe.nelson@example.com"",";passwordTest123!@;4074;;"  {""address"": ""2727 Pine St, Pamplona, Navarra, España""},";4059261;;;1075
U0031;"""Samuel Hall"",";"""NebulaNavigator"",";"""joshua.carter@example.com"",";passwordTest123!@;4075;;"  {""address"": ""2828 Maple St, Almería, Andalucía, España""},";4160592;;;1015
U0032;"""Chloe Allen"",";"""AstroAdventurer"",";"""lily.mitchell@example.com"",";passwordTest123!@;4076;;"  {""address"": ""2929 Cedar St, San Sebastián, País Vasco, España""},";4439017;;;1008
U0033;"""David King"",";"""GalacticGuardian"",";"""kevin.perez@example.com"",";passwordTest123!@;4034;;"  {""address"": ""3030 Birch St, Burgos, Castilla y León, España""},";4255379;;;1044
U0034;"""Lily Scott"",";"""MeteorMan"",";"""ella.roberts@example.com"",";passwordTest123!@;4063;;"  {""address"": ""3131 Walnut St, Salamanca, Castilla y León, España""},";4051000;;;1072
U0035;"""Carter Wright"",";"""CometCommander"",";"""brian.turner@example.com"",";passwordTest123!@;4056;;"  {""address"": ""3232 Chestnut St, Albacete, Castilla-La Mancha, España""},";4562000;;;1036
U0036;"""Hannah Green"",";"""PlanetPioneer"",";"""hannah.phillips@example.com"",";passwordTest123!@;4068;;"  {""address"": ""3333 Ash St, Santander, Cantabria, España""},";4300047;;;1038
U0037;"""Owen Adams"",";"""GalaxyGuardian"",";"""george.campbell@example.com"",";passwordTest123!@;4086;;"  {""address"": ""3434 Willow St, Castellón de la Plana, Comunidad Valenciana, España""},";4393000;;;1066
U0038;"""Aria Baker"",";"""SpaceSurfer"",";"""samantha.parker@example.com"",";passwordTest123!@;4026;;"  {""address"": ""3535 Poplar St, Logroño, La Rioja, España""},";4664125;;;1098
U0039;"""Wyatt Nelson"",";"""OrbitExplorer"",";"""edward.evans@example.com"",";passwordTest123!@;4017;;"  {""address"": ""3636 Cypress St, Badajoz, Extremadura, España""},";4050343;;;1070
U0040;"""Ella Hill"",";"""RocketRider"",";"""natalie.edwards@example.com"",";passwordTest123!@;4095;;"  {""address"": ""3737 Redwood St, Huelva, Andalucía, España""},";4058000;;;1096
U0041;"""John Carter"",";"""AlienHunter"",";"""patrick.collins@example.com"",";passwordTest123!@;4017;;"  {""address"": ""3838 Spruce St, Tarragona, Cataluña, España""},";4686056;;;1036
U0042;"""Avery Rivera"",";"""AstroExplorer"",";"""victoria.stewart@example.com"",";passwordTest123!@;4029;;"  {""address"": ""3939 Fir St, León, Castilla y León, España""},";4207464;;;1093
U0043;"""Luke Mitchell"",";"""StarshipNavigator"",";"""ryan.sanchez@example.com"",";passwordTest123!@;4042;;"  {""address"": ""4040 Pine St, Cádiz, Andalucía, España""},";4060648;;;1038
U0044;"""Sofia Campbell"",";"""Intergalactic"",";"""lillian.morris@example.com"",";passwordTest123!@;4063;;"  {""address"": ""4141 Maple St, Lleida, Cataluña, España""},";4160592;;;1062
U0045;"""Gabriel Roberts"",";"""CosmicCaptain"",";"""jacob.rogers@example.com"",";passwordTest123!@;4009;;"  {""address"": ""4242 Cedar St, Marbella, Andalucía, España""},";4124088;;;1096
U0046;"""Zoe Parker"",";"""LunarPilot"",";"""madison.reed@example.com"",";passwordTest123!@;4072;;"  {""address"": ""4343 Birch St, Jaén, Andalucía, España""},";4266000;;;1045
U0047;"""Anthony Evans"",";"""SolarNavigator"",";"""nicholas.cook@example.com"",";passwordTest123!@;4006;;"  {""address"": ""4444 Walnut St, Ourense, Galicia, España""},";4907375;;;1005
U0048;"""Penelope Edwards"",";"""NebulaExplorer"",";"""aubrey.morgan@example.com"",";passwordTest123!@;4007;;"  {""address"": ""4545 Chestnut St, Lugo, Galicia, España""},";4393000;;;1032
U0049;"""Isaac Collins"",";"""AstroGuardian"",";"""anthony.bell@example.com"",";passwordTest123!@;4013;;"  {""address"": ""4646 Ash St, Santiago de Compostela, Galicia, España""},";4276981;;;1044
U0050;"""Layla Stewart"",";"""GalacticPilot"",";"""scarlett.murphy@example.com"",";passwordTest123!@;4021;;"  {""address"": ""4747 Willow St, Cáceres, Extremadura, España""},";4109319;;;1067
U0051;"""Dylan Sanchez"",";"""MeteorNavigator"",";"""matthew.bailey@example.com"",";passwordTest123!@;4086;;"  {""address"": ""4848 Poplar St, Melilla, España""},";4050027;;;1002
U0052;"""Lillian Morris"",";"""CometPilot"",";"""layla.rivera@example.com"",";passwordTest123!@;4007;;"  {""address"": ""4949 Cypress St, Ceuta, España""},";4141125;;;1058
U0053;"""Lincoln Rogers"",";"""PlanetNavigator"",";"""justin.cooper@example.com"",";passwordTest123!@;4039;;"  {""address"": ""5050 Redwood St, Talavera de la Reina, Castilla-La Mancha, España""},";4082768;;;1009
U0054;"""Nora Reed"",";"""GalaxyPilot"",";"""ellie.richardson@example.com"",";passwordTest123!@;4045;;"  {""address"": ""5151 Spruce St, Torrejón de Ardoz, Comunidad de Madrid, España""},";4488976;;;1039
U0055;"""Caleb Cook"",";"""SpacePilot"",";"""benjamin.cox@example.com"",";passwordTest123!@;4086;;"  {""address"": ""5252 Fir St, Parla, Comunidad de Madrid, España""},";4207464;;;1015
U0056;"""Zoey Morgan"",";"""OrbitPilot"",";"""nora.howard@example.com"",";passwordTest123!@;4089;;"  {""address"": ""5353 Pine St, Fuenlabrada, Comunidad de Madrid, España""},";4266000;;;1061
U0057;"""Nathan Bell"",";"""RocketNavigator"",";"""ethan.ward@example.com"",";passwordTest123!@;4041;;"  {""address"": ""5454 Maple St, Alcobendas, Comunidad de Madrid, España""},";4506533;;;1093
U0058;"""Mila Murphy"",";"""AlienPilot"",";"""zoey.flores@example.com"",";passwordTest123!@;4026;;"  {""address"": ""5555 Cedar St, Getafe, Comunidad de Madrid, España""},";4054096;;;1027
U0059;"""Ryan Bailey"",";"""AstroPilot"",";"""alexander.barnes@example.com"",";passwordTest123!@;4067;;"  {""address"": ""5656 Birch St, Alcorcón, Comunidad de Madrid, España""},";4664125;;;1078
U0060;"""Aubrey Cooper"",";"""StarshipPilot"",";"""penelope.ross@example.com"",";passwordTest123!@;4093;;"  {""address"": ""5757 Walnut St, Leganés, Comunidad de Madrid, España""},";4255379;;;1057
